num,Informatiksicherheit,Geschlecht,Altersklasse,Bildungsstand,Jahr,Absolut / relativ,Resultat
1616750,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2017,Anzahl Personen,Wert
105288,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
58.7,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
2.9,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1622374,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2014,Anzahl Personen,Wert
107227,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
55.5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
2.8,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1964083,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
106871,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
68.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
2.6,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1704472,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Wert
108389,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
69.9,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
2.9,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1506698,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Wert
102791,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
73.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1689114,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2014,Anzahl Personen,Wert
109821,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
75.6,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
463253,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Wert
50646,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
56.3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
560521,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2019,Anzahl Personen,Wert
53316,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2019,Anzahl Personen,Konfidenzintervall +/-
64.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2019,Anteil (in % der Gesamtbevölkerung),Wert
4.8,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
561483,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2017,Anzahl Personen,Wert
54343,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2017,Anzahl Personen,Konfidenzintervall +/-
63.1,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2017,Anteil (in % der Gesamtbevölkerung),Wert
5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
718263,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2014,Anzahl Personen,Wert
41271,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2014,Anzahl Personen,Konfidenzintervall +/-
76.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2014,Anteil (in % der Gesamtbevölkerung),Wert
4.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
745164,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
57388,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
55.8,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
4.2,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
900538,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2019,Anzahl Personen,Wert
57994,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2019,Anzahl Personen,Konfidenzintervall +/-
62.6,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Wert
4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
909440,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2017,Anzahl Personen,Wert
57401,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2017,Anzahl Personen,Konfidenzintervall +/-
64.7,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Wert
4.1,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1150104,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2014,Anzahl Personen,Wert
73603,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2014,Anzahl Personen,Konfidenzintervall +/-
76,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Wert
3.8,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
141973,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
36729,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
55.6,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
10.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
148094,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anzahl Personen,Wert
38345,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
69.5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
10.9,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
162982,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anzahl Personen,Wert
39670,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
66.4,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
10.6,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
187838,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anzahl Personen,Wert
47645,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anzahl Personen,Konfidenzintervall +/-
69.2,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Wert
10.7,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2014,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
133814,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
36080,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
57.5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
10.9,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
160983,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Wert
39711,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anzahl Personen,Konfidenzintervall +/-
56.3,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Wert
10,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2019,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
160239,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Wert
40470,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anzahl Personen,Konfidenzintervall +/-
72.5,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Wert
10.1,Verwendung von Sicherheitssoftware zum Schutz Ihres Computers,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2017,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
