num,Internetzugang,Sprachgebiet,Haushaltsgrösse,Subjektive finanzielle Situation des Haushalts,Jahr,Absolut / relativ,Resultat
49442,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
96.6,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Wert
2.3,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
394427,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Wert
47119,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
93.3,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Wert
3.4,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
2022661,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Wert
76294,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
95.9,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Wert
1.2,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
1743369,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Wert
75034,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
91.9,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Wert
1.6,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
901717,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Wert
64968,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
97.6,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Wert
1.5,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
964172,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Wert
65915,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
91.1,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Wert
2.3,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
201993,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Wert
35413,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
94.5,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2021,Anteil (in % aller Haushalte),Wert
4.1,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
238590,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2019,Anzahl Haushalte,Wert
40171,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
90.6,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Wert
5.4,Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,Haushaltsgrösse - Total,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
1180609,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Wert
48074,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Konfidenzintervall +/-
91.3,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Wert
2.2,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
1060107,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Wert
51782,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Konfidenzintervall +/-
84.7,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Wert
2.8,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
911590,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Wert
54258,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Konfidenzintervall +/-
78.5,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Wert
3.5,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
789555,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Wert
66687,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Konfidenzintervall +/-
65.8,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Wert
3.7,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
146455,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Wert
35727,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
91.8,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Wert
6.4,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
127832,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Wert
34168,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
86.7,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Wert
8.5,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
607731,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Wert
59323,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
89.6,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Wert
3.5,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
542585,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Wert
57414,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anzahl Haushalte,Konfidenzintervall +/-
85.9,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Wert
4.1,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher einfach,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
338307,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Wert
49896,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
95.2,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Wert
3.6,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
271450,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Wert
47043,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
81.7,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Wert
6.4,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation eher schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
71782,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Wert
25146,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anzahl Haushalte,Konfidenzintervall +/-
91.1,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anteil (in % aller Haushalte),Wert
9.5,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
110443,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anzahl Haushalte,Wert
32756,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anzahl Haushalte,Konfidenzintervall +/-
89.1,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Wert
8.1,Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anzahl Haushalte,Konfidenzintervall +/-
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Wert
"""...""",Haushalte mit Internetzugang,Schweiz,1-Personenhaushalt,Finanzielle Situation sehr schwierig,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
1328795,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Wert
52822,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anzahl Haushalte,Konfidenzintervall +/-
97.9,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Wert
0.8,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
1184293,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Wert
54223,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anzahl Haushalte,Konfidenzintervall +/-
92.8,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Wert
1.6,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2019,Anteil (in % aller Haushalte),Konfidenzintervall +/-
1197452,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Wert
55996,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anzahl Haushalte,Konfidenzintervall +/-
89.7,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Wert
1.9,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2017,Anteil (in % aller Haushalte),Konfidenzintervall +/-
1030430,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Wert
63236,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anzahl Haushalte,Konfidenzintervall +/-
85.7,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Wert
2.1,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation  - Total,2014,Anteil (in % aller Haushalte),Konfidenzintervall +/-
218184,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Wert
30023,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anzahl Haushalte,Konfidenzintervall +/-
98.8,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Wert
1.6,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2021,Anteil (in % aller Haushalte),Konfidenzintervall +/-
160793,Haushalte mit Internetzugang,Schweiz,2-Personenhaushalt,Finanzielle Situation sehr einfach,2019,Anzahl Haushalte,Wert
