num,E-commerce: gekaufte Produkte,Geschlecht,Altersklasse,Bildungsstand,Jahr,Absolut / relativ,Resultat
2259093,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
109958,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
78.6,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
2.2,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
619130,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Wert
51956,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
75.2,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
4.4,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1045322,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
49629,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
78.3,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
3.5,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
""".....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
""".....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
214923,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
42757,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
84.1,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
7.7,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
205841,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
42492,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
88.5,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
7.1,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
619130,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
51956,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
75.2,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
4.4,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
2801025,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
78822,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
75.7,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
2,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
259625,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
46504,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
49.2,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
6.6,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
923877,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
79272,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
73.1,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
3.7,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1617524,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
88801,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
84.7,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
2.4,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
849952,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Wert
63677,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
42.2,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
3.1,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
48166,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
20322,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
13.3,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
5.3,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
366057,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
50582,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
39.9,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4.7,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
435729,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
52936,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
59.6,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
5.3,Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....""",Einkäufe im Internet in den letzten drei Monaten,Geschlecht - Total,60 Jahre und älter,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
2394066,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Wert
79707,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
68.6,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
2.3,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
133236,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
33992,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
34.6,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
7.3,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
681406,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
70967,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
62.7,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
4.4,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1278637,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
82805,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
79.8,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
2.9,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
300786,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Wert
42821,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
72.5,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
6.4,Einkäufe im Internet in den letzten drei Monaten,Mann,Altersklasse - Total,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
519760,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
52554,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
77,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
4.9,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
113433,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
32870,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
80.9,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
11.3,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
103201,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
32572,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
92.6,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
8.1,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
300786,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
42821,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
72.5,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
6.4,Einkäufe im Internet in den letzten drei Monaten,Mann,15 bis 29 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
1394402,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Wert
73615,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
76.2,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
3,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
115559,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
31922,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
47.2,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
9.7,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
376397,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
54306,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
70.4,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
6,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
902446,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
71176,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
85.8,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
3.2,Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""....""",Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
"""....""",Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Wert
"""....""",Einkäufe im Internet in den letzten drei Monaten,Mann,30 bis 59 Jahre,Unter 25 Jahren,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
479903,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Wert
52983,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anzahl Personen,Konfidenzintervall +/-
48.8,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Wert
4.6,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Bildungsstand - Total,2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Wert
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
""".....""",Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Ohne nachobligatorische Ausbildung (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
191576,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Wert
38146,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
46.6,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
7.3,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Sekundarstufe II (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
272989,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Wert
43425,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anzahl Personen,Konfidenzintervall +/-
62.1,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Wert
6.7,Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Tertiärstufe (25 Jahre und älter),2021,Anteil (in % der Gesamtbevölkerung),Konfidenzintervall +/-
"""....""",Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Unter 25 Jahren,2021,Anzahl Personen,Wert
"""....""",Einkäufe im Internet in den letzten drei Monaten,Mann,60 Jahre und älter,Unter 25 Jahren,2021,Anzahl Personen,Konfidenzintervall +/-
